# Fuel consumption dataset for FAST project
# Sources: US DOE fueleconomy.gov | EEA COPERT methodology | Natural Resources Canada fuel consumption guide
distance_km,avg_speed_kmh,vehicle_type,vehicle_mileage_kmpl,temperature_c,wind_speed_kmh,precipitation_mm,road_type,num_stops_per_km,fuel_consumed_litres
324.6,17.2,car,14.6,31.5,38.2,3.5,urban,4.16,69.496
204.2,35.0,truck,4.2,4.2,0.3,1.9,mixed,1.37,82.811
238.6,56.3,suv,14.3,12.3,23.9,0.2,mixed,1.1,25.82
359.8,108.7,car,14.5,28.2,39.7,7.5,highway,0.35,40.927
438.8,96.4,car,14.7,19.1,31.5,11.8,highway,0.16,40.709
139.7,116.4,car,19.6,31.9,23.7,1.7,highway,0.48,13.316
174.3,26.7,bike,43.5,43.1,32.2,2.9,urban,4.27,12.884
465.7,32.9,truck,6.9,0.8,45.3,1.8,urban,2.77,164.422
291.4,30.0,suv,8.5,30.5,28.3,1.2,urban,4.08,81.037
93.6,119.0,suv,11.4,6.5,40.0,0.2,highway,0.2,17.241
333.5,118.0,bike,31.0,15.7,49.0,1.8,highway,0.42,20.838
495.4,42.4,truck,3.3,-3.4,35.3,5.1,urban,3.34,287.647
412.6,22.6,suv,14.3,1.8,28.7,0.1,urban,3.91,97.982
374.1,112.4,car,13.4,11.0,1.9,2.6,highway,0.3,47.247
108.0,23.0,car,17.3,12.1,18.7,6.4,urban,4.03,20.834
438.7,101.2,car,16.1,40.0,28.3,0.7,highway,0.4,42.778
265.3,79.4,car,15.5,32.1,39.9,0.6,mixed,0.81,22.903
445.2,70.6,car,21.0,43.6,21.9,4.4,mixed,1.21,32.932
168.3,78.7,car,12.2,25.0,48.0,0.9,highway,0.32,16.761
35.7,73.5,car,18.6,7.1,13.6,0.6,highway,0.14,2.179
240.6,39.6,suv,14.7,11.4,37.2,1.4,urban,3.49,45.014
138.6,98.8,bike,46.8,11.0,21.0,1.5,highway,0.44,4.416
359.0,25.5,car,21.4,11.3,24.3,6.2,urban,4.4,59.325
478.8,54.9,car,12.5,28.6,40.1,2.9,mixed,0.81,51.602
347.0,32.6,car,16.2,21.5,14.8,1.6,urban,2.69,50.78
444.0,57.7,suv,9.8,14.3,4.8,2.3,mixed,1.06,59.443
229.2,34.7,car,19.3,2.5,26.0,9.2,urban,4.48,38.909
387.0,98.3,car,21.8,-3.9,26.4,0.4,highway,0.15,26.323
422.3,46.4,car,14.6,5.9,39.9,0.7,mixed,1.91,54.59
356.9,18.0,bike,49.6,0.4,48.4,9.9,urban,4.42,29.381
256.3,27.6,suv,9.4,34.3,2.8,9.5,urban,3.06,63.511
314.8,86.9,car,17.7,0.6,29.6,0.6,highway,0.24,23.931
351.8,107.9,bike,43.9,31.2,34.1,0.5,highway,0.42,13.367
130.3,53.8,truck,7.9,14.3,49.3,1.6,mixed,2.32,30.45
405.7,113.8,truck,6.0,-1.3,47.1,0.2,highway,0.36,149.736
475.4,59.7,suv,10.4,35.6,35.6,3.2,mixed,1.39,69.31
235.3,52.2,car,13.1,24.0,26.1,0.2,mixed,2.32,31.156
352.0,71.4,bike,34.5,6.8,8.1,0.2,mixed,1.3,14.223
369.8,30.7,suv,9.6,39.7,19.2,2.0,urban,3.04,87.953
332.8,19.0,car,14.5,-2.7,29.3,9.5,urban,4.92,84.317
275.8,39.9,bike,55.5,5.1,36.3,1.7,mixed,2.37,12.101
441.4,87.9,car,17.6,32.6,31.8,1.3,highway,0.15,30.159
227.2,33.8,bike,45.7,30.5,35.7,18.6,urban,2.12,11.085
35.2,17.2,truck,3.6,9.5,21.5,2.3,urban,4.12,25.509
423.1,20.7,car,20.6,-1.9,36.4,1.4,urban,3.35,73.687
338.6,25.1,suv,13.1,37.9,7.2,1.5,urban,2.3,61.56
425.4,89.8,car,12.7,10.7,8.1,0.7,highway,0.14,42.17
73.6,20.8,car,19.1,4.8,8.1,2.2,urban,2.09,10.787
20.2,60.5,car,17.4,20.8,44.5,1.7,mixed,2.09,2.153
467.5,78.0,car,12.8,40.5,3.8,0.9,highway,0.47,43.473
78.1,69.1,truck,5.3,-2.8,40.1,0.5,mixed,2.18,24.765
405.8,26.5,suv,11.4,33.3,11.7,1.1,urban,2.53,82.65
412.5,63.1,truck,3.8,23.6,23.4,2.1,mixed,2.34,149.665
355.8,32.7,truck,7.7,16.3,45.8,0.2,urban,4.08,125.005
70.0,72.8,car,20.5,32.2,29.3,0.5,mixed,1.69,5.938
335.4,95.5,truck,6.3,43.3,10.5,8.8,highway,0.3,72.567
445.1,50.9,bike,43.9,6.5,14.2,2.3,mixed,1.56,17.842
215.6,91.9,car,16.1,2.2,46.0,0.2,highway,0.3,19.638
209.7,54.6,bike,49.5,40.6,21.4,3.5,mixed,1.7,7.665
224.2,36.1,car,17.5,28.4,29.3,0.2,mixed,1.34,23.993
45.7,117.6,car,12.6,16.9,23.0,4.0,highway,0.26,6.556
446.6,109.6,car,17.1,23.7,18.9,4.2,highway,0.23,41.48
435.2,40.5,suv,13.6,32.3,11.2,3.2,mixed,1.79,59.965
499.0,102.3,car,16.6,33.7,34.3,4.0,highway,0.33,44.928
294.7,37.4,car,12.5,41.0,35.9,0.3,mixed,1.05,39.976
376.8,91.4,car,19.9,16.3,13.7,3.9,highway,0.42,25.219
105.3,86.6,bike,36.0,9.7,39.5,0.4,highway,0.29,3.696
335.4,44.1,suv,9.8,27.0,42.7,1.2,mixed,2.08,62.561
326.6,39.0,bike,34.9,15.8,46.0,8.6,urban,3.35,22.085
451.1,37.8,truck,4.7,24.7,8.1,2.1,mixed,2.32,162.397
416.2,93.2,suv,13.3,16.0,15.2,10.3,highway,0.48,43.027
469.5,20.4,car,17.2,2.6,43.0,0.3,urban,3.24,91.136
435.1,25.4,bike,36.1,18.5,9.9,1.9,urban,4.2,35.319
435.0,42.9,suv,14.1,29.5,0.2,0.2,urban,4.06,81.297
36.5,19.4,suv,14.2,35.0,43.5,3.0,urban,4.5,9.554
423.8,34.0,suv,14.1,19.7,16.3,0.2,urban,2.75,71.505
305.7,32.8,suv,9.7,3.3,20.7,0.6,urban,3.83,78.151
193.3,97.4,bike,43.5,15.7,22.3,0.9,highway,0.32,5.946
33.0,70.0,car,21.8,34.3,42.4,4.1,mixed,0.9,2.262
340.4,108.2,bike,53.2,15.6,16.9,0.5,highway,0.24,9.86
167.5,20.6,truck,3.1,29.8,44.6,5.6,urban,2.94,122.284
236.5,101.3,suv,8.5,20.4,30.8,0.4,highway,0.49,40.787
342.5,44.2,car,16.6,7.1,26.4,0.1,urban,2.64,44.508
456.3,79.6,bike,57.3,34.8,16.3,1.5,mixed,1.64,14.308
413.6,73.7,car,17.4,-0.8,12.2,11.7,highway,0.2,30.837
228.0,84.4,car,17.0,21.2,31.2,0.4,highway,0.28,16.378
197.0,101.4,suv,8.7,5.4,22.3,0.3,highway,0.4,35.86
123.7,23.4,suv,12.6,-1.6,45.5,4.2,urban,4.19,34.553
189.4,64.0,truck,7.1,20.1,24.6,1.1,mixed,2.09,41.665
60.0,97.5,car,15.8,20.0,25.6,3.8,highway,0.11,4.838
485.7,47.7,bike,53.3,30.3,20.8,0.7,mixed,1.18,14.973
289.1,82.2,suv,14.8,32.2,39.5,1.8,highway,0.41,24.652
68.3,27.6,suv,9.4,31.4,21.2,0.9,urban,3.76,17.366
179.6,52.7,car,17.2,15.5,13.5,1.8,mixed,2.24,20.067
275.8,100.8,suv,10.0,26.6,43.1,4.4,highway,0.18,38.602
268.8,36.6,car,19.9,23.8,29.8,4.3,urban,4.72,45.371
22.6,78.9,car,17.8,16.1,29.6,2.2,highway,0.12,1.441
475.7,113.7,car,18.3,24.9,30.5,7.9,highway,0.44,47.605
141.3,107.1,bike,53.9,42.4,35.9,0.9,highway,0.18,4.164
13.0,103.0,bike,41.9,4.6,15.7,0.8,highway,0.45,0.489
42.8,36.0,bike,57.5,40.3,1.7,2.9,urban,4.45,2.549
292.2,37.1,suv,11.7,-2.3,40.5,2.9,urban,4.96,78.567
73.2,23.7,car,13.6,10.4,6.4,0.1,urban,3.17,14.481
25.7,109.9,car,19.0,9.4,36.1,2.8,highway,0.46,2.418
192.9,85.1,truck,7.0,26.3,4.1,1.4,highway,0.15,31.42
313.3,23.9,car,15.2,1.6,18.8,4.1,urban,3.81,67.721
60.4,56.2,car,20.6,39.1,3.2,5.0,mixed,1.24,4.716
160.1,84.9,suv,14.3,36.4,26.1,2.4,highway,0.13,13.067
211.8,37.1,car,14.8,27.6,32.7,0.0,mixed,1.34,24.731
83.9,18.3,bike,59.5,17.9,8.6,3.0,urban,4.31,5.552
255.5,39.9,car,13.4,41.6,18.6,4.1,urban,3.5,44.428
47.2,33.1,car,14.0,36.5,46.5,0.9,urban,2.92,8.032
28.0,83.4,truck,3.9,20.0,22.1,1.9,highway,0.47,8.158
262.3,111.0,suv,14.3,30.1,40.1,10.1,highway,0.32,32.417
127.7,23.5,suv,12.6,23.3,46.4,1.1,urban,3.22,29.737
52.2,73.8,truck,3.8,24.4,48.7,0.8,highway,0.38,16.558
214.8,77.2,suv,11.1,11.5,44.9,0.7,mixed,0.97,27.917
458.0,16.9,car,18.2,18.1,15.9,2.5,urban,2.73,71.864
363.5,109.4,truck,3.4,-1.1,48.1,9.0,highway,0.21,210.33
408.7,45.5,car,20.8,12.9,40.6,2.8,mixed,2.08,42.667
436.6,87.4,suv,13.6,29.8,41.9,1.1,highway,0.12,38.985
486.5,26.1,truck,5.5,42.7,0.8,3.1,urban,3.89,212.371
382.8,34.4,car,21.7,43.2,47.7,2.9,urban,2.35,46.113
306.2,52.0,bike,42.5,22.8,38.9,2.7,mixed,2.02,13.069
185.9,57.8,car,21.8,25.3,38.4,0.5,mixed,0.92,12.862
94.9,36.9,car,18.7,4.3,4.1,3.0,urban,2.0,11.355
344.9,35.7,suv,12.4,29.8,11.6,1.7,urban,2.38,55.948
497.5,52.1,truck,3.8,-1.5,48.1,0.1,mixed,2.24,228.406
236.3,103.5,bike,56.5,9.2,25.0,2.3,highway,0.16,6.307
363.2,93.2,car,16.3,28.4,19.9,13.6,highway,0.21,29.699
250.1,100.7,car,13.6,10.5,42.0,1.3,highway,0.25,26.99
